project,area_bucket,district,tenure,propertyType,avg_buy,most_recent_buy,avg_buy_2020,avg_buy_2021,avg_buy_2022,avg_buy_2023,avg_buy_2024,avg_buy_2025,avg_rent,most_recent_rent,avg_rent_2020,avg_rent_2021,avg_rent_2022,avg_rent_2023,avg_rent_2024,avg_rent_2025,ROI
111 EMERALD HILL,220-230,,,,,,,,,,,,13442.857142857143,15000.0,,10150.0,12000.0,15600.0,,15000.0,
111 EMERALD HILL,230-240,,,,,,,,,,,,13450.0,15500.0,,11837.5,13300.0,15500.0,14625.0,,
111 EMERALD HILL,400-450,9.0,Freehold,Apartment,8500000.0,8500000.0,,8500000.0,,,,,,,,,,,,,
111 EMERALD HILL,>300,,,,,,,,,,,,18650.0,17000.0,,20300.0,,,17000.0,,
120 GRANGE,30-40,,,,,,,,,,,,4081.8125,3900.0,,,,4358.875,3807.6,3800.0,
120 GRANGE,50-60,10.0,Freehold,Apartment,1622250.0,1580000.0,1593750.0,,,1675000.0,1642666.6666666667,,4550.923076923077,4200.0,,,,4927.111111111111,4336.190476190476,4376.923076923077,31.34920634920635
120 GRANGE,60-70,10.0,Freehold,Apartment,1873941.0,1938888.0,1864662.857142857,,,,1938888.0,,5279.775,5000.0,,,,5524.45,5061.692307692308,4985.714285714285,32.3148
15 HOLLAND HILL,100-150,10.0,Freehold,Apartment,3852058.75,3500000.0,3779740.0,,3989216.6666666665,3767270.0,,,,,,,,,,,
15 HOLLAND HILL,150-200,10.0,Freehold,Apartment,5797967.16,6150000.0,,5526259.0,6000794.615384615,,6150000.0,,,,,,,,,,
15 HOLLAND HILL,200-250,10.0,Freehold,Apartment,7270324.5625,7682659.0,7568200.0,7244002.4,7263393.8,,,,,,,,,,,,
15 HOLLAND HILL,350-400,10.0,Freehold,Apartment,13994000.0,13660000.0,,13994000.0,,,,,,,,,,,,,
15 HOLLAND HILL,400-450,10.0,Freehold,Apartment,13024481.0,13024481.0,,13024481.0,,,,,,,,,,,,,
15 HOLLAND HILL,450-500,10.0,Freehold,Apartment,14435366.666666666,14692000.0,13427100.0,14939500.0,,,,,,,,,,,,,
16 @ AMBER,110-120,,,,,,,,,,,,4300.0,4900.0,,3700.0,,4900.0,,,
16 @ AMBER,30-40,15.0,Freehold,Apartment,805750.0,860000.0,,752500.0,,,859000.0,,2554.1071428571427,3000.0,,1891.6666666666667,2419.230769230769,2922.222222222222,2786.25,3000.0,23.88888888888889
16 @ AMBER,60-70,15.0,Freehold,Apartment,1166666.6666666667,1250000.0,,1150000.0,1100000.0,1250000.0,,,3237.7419354838707,3700.0,,2310.0,3071.4285714285716,3762.5,3600.0,3650.0,28.153153153153152
18 SHELFORD,100-150,11.0,Freehold,Apartment,2559000.0,2688000.0,,,,2559000.0,,,,,,,,,,,
18 SHELFORD,110-120,,,,,,,,,,,,6125.0,6250.0,,,,6000.0,,6250.0,
18 SHELFORD,120-130,,,,,,,,,,,,6800.0,6800.0,,,6800.0,,,,
18 SHELFORD,150-200,11.0,Freehold,Apartment,3832500.0,3820000.0,,3800000.0,3843333.3333333335,,,,,,,,,,,,
18 SHELFORD,170-180,,,,,,,,,,,,6266.666666666667,7000.0,5300.0,,6500.0,,7000.0,,
18 SHELFORD,190-200,,,,,,,,,,,,6650.0,7350.0,,6000.0,6000.0,,7625.0,,
18 SHELFORD,200-250,11.0,Freehold,Apartment,3500000.0,3500000.0,,3500000.0,,,,,,,,,,,,,
18 SHELFORD,>300,,,,,,,,,,,,12433.333333333334,12300.0,,12500.0,12500.0,,12300.0,,
18 WOODSVILLE,110-120,,,,,,,,,,,,3680.0,3900.0,,3250.0,3900.0,4100.0,3900.0,,
18 WOODSVILLE,140-150,,,,,,,,,,,,5425.0,5350.0,,,,5500.0,5350.0,,
18 WOODSVILLE,160-170,,,,,,,,,,,,5100.0,5200.0,,4000.0,5800.0,5200.0,,5200.0,
18 WOODSVILLE,40-50,13.0,Freehold,Apartment,878841.1428571428,908888.0,,730000.0,920000.0,,902666.6666666666,896944.0,2673.838383838384,3100.0,2150.0,2071.904761904762,2530.0,3086.842105263158,2954.5454545454545,2922.7272727272725,24.43247311827957
18 WOODSVILLE,60-70,13.0,Freehold,Apartment,1255000.0,1280000.0,,,,1230000.0,1280000.0,,3352.4074074074074,3700.0,,2660.714285714286,3145.8333333333335,3830.0,3727.5,3833.3333333333335,28.82882882882883
18 WOODSVILLE,70-80,13.0,Freehold,Apartment,1283333.3333333333,1250000.0,1320000.0,,1280000.0,,1250000.0,,3161.764705882353,3800.0,,2560.0,2987.5,3392.8571428571427,3800.0,3816.6666666666665,27.412280701754387
18 WOODSVILLE,80-90,13.0,Freehold,Apartment,1416296.0,1520000.0,1200000.0,,,1528888.0,1520000.0,,3886.046511627907,4200.0,,3114.285714285714,3383.3333333333335,4475.0,4477.777777777777,4600.0,30.15873015873016
18 WOODSVILLE,90-100,13.0,Freehold,Apartment,1300000.0,1300000.0,,1300000.0,,,,,3600.0,3600.0,,3316.6666666666665,,4025.0,3600.0,,30.09259259259259
183 LONGHAUS,100-110,20.0,Freehold,Apartment,2130000.0,2130000.0,,,,,,2130000.0,4257.142857142857,5000.0,,3950.0,4300.0,4700.0,5000.0,,35.5
183 LONGHAUS,40-50,20.0,Freehold,Apartment,984333.3333333334,1050000.0,,,951500.0,,,1050000.0,3030.909090909091,3700.0,2200.0,2407.1428571428573,2837.5,3278.3333333333335,3430.0,3575.0,23.64864864864865
183 LONGHAUS,50-60,,,,,,,,,,,,3125.0,3500.0,,2500.0,,,3333.3333333333335,,
183 LONGHAUS,60-70,20.0,Freehold,Apartment,1232500.0,1265000.0,,,,,1232500.0,,3066.6666666666665,3500.0,,2700.0,3000.0,,3500.0,,30.11904761904762
183 LONGHAUS,70-80,20.0,Freehold,Apartment,1480000.0,1480000.0,,,,1480000.0,,,3500.0,3700.0,,3187.5,2900.0,3700.0,3875.0,3850.0,33.333333333333336
183 LONGHAUS,80-90,20.0,Freehold,Apartment,1545972.0,1680000.0,,1390000.0,1458888.0,1667500.0,,,3650.0,4300.0,,3000.0,3650.0,,4300.0,,32.55813953488372
183 LONGHAUS,90-100,20.0,Freehold,Apartment,1709000.0,1688000.0,,,1730000.0,,1688000.0,,3650.0,4000.0,,3350.0,3600.0,,,4000.0,35.166666666666664
19 NASSIM,100-110,10.0,99 yrs lease commencing from 2019,Apartment,3745271.25,3718000.0,,,,3829000.0,3758056.6666666665,3714750.0,8600.0,8600.0,,,,,,8600.0,36.02713178294574
19 NASSIM,100-150,10.0,99 yrs lease commencing from 2019,Apartment,5257816.285714285,5370000.0,4502840.0,5288888.0,,5391216.666666667,5284256.25,5370000.0,,,,,,,,,
19 NASSIM,130-140,,,,,,,,,,,,14166.666666666666,13500.0,,,,,14000.0,14250.0,
19 NASSIM,150-200,10.0,99 yrs lease commencing from 2019,Apartment,5896800.0,5686000.0,,,,,5896800.0,,,,,,,,,,
19 NASSIM,160-170,,,,,,,,,,,,15400.0,15800.0,,,,,15000.0,15800.0,
19 NASSIM,40-50,10.0,99 yrs lease commencing from 2019,Apartment,2043100.0,2000000.0,,,,2086200.0,,2000000.0,,,,,,,,,
19 NASSIM,50-60,10.0,99 yrs lease commencing from 2019,Apartment,1996649.5,1910000.0,,,,,1996649.5,,5575.0,5500.0,,,,,5600.0,5500.0,28.939393939393938
19 NASSIM,60-70,10.0,99 yrs lease commencing from 2019,Apartment,2134640.0,2121000.0,,,,,2134640.0,,7266.666666666667,7500.0,,,,,7266.666666666667,,23.566666666666666
19 NASSIM,70-80,10.0,99 yrs lease commencing from 2019,Apartment,2720828.25,2980000.0,,,,2642000.0,2719725.2,2803333.3333333335,7840.0,7800.0,,,,,7850.0,7800.0,31.837606837606838
19 NASSIM,80-90,10.0,99 yrs lease commencing from 2019,Apartment,3266286.8,3343000.0,,,,,3260807.285714286,3343000.0,9800.0,9800.0,,,,,,9800.0,28.42687074829932
19 NASSIM,90-100,10.0,99 yrs lease commencing from 2019,Apartment,3628714.285714286,3628000.0,,,,,3618600.0,3654000.0,9375.0,8000.0,,,,,9000.0,9500.0,37.791666666666664
1919,100-150,9.0,Freehold,Apartment,2050000.0,2050000.0,,2050000.0,,,,,,,,,,,,,
1919,120-130,,,,,,,,,,,,4650.0,4700.0,,4650.0,,,,,
1919,50-60,9.0,Freehold,Apartment,1150750.0,1190000.0,1104000.0,1132500.0,,1278000.0,,1190000.0,3352.970297029703,3600.0,2700.0,2838.4615384615386,3215.909090909091,3763.8888888888887,3590.909090909091,3720.8333333333335,27.546296296296294
1919,60-70,9.0,Freehold,Apartment,1453750.0,1470000.0,,1480000.0,1485000.0,1425000.0,,,3975.0,3400.0,,3481.25,3925.0,4487.5,4371.428571428572,3400.0,36.029411764705884
1919,70-80,9.0,Freehold,Apartment,1709285.7142857143,2200000.0,1340000.0,1595000.0,1617500.0,,2000000.0,2200000.0,4211.111111111111,4500.0,,3635.714285714286,3912.5,4736.363636363636,4812.5,4566.666666666667,40.74074074074074
1919,80-90,,,,,,,,,,,,4400.0,5000.0,,3800.0,,5000.0,,,
1919,90-100,9.0,Freehold,Apartment,1590000.0,1590000.0,,,1590000.0,,,,5254.545454545455,6500.0,,4550.0,4400.0,6050.0,4500.0,6500.0,20.384615384615383
1953,100-110,8.0,Freehold,Apartment,2043600.0,1928000.0,,,2072500.0,1928000.0,,,5500.0,5500.0,,,,5500.0,,,29.212121212121215
1953,100-150,8.0,Freehold,Apartment,2496742.8571428573,2468000.0,,2150000.0,2571840.0,2468000.0,,,,,,,,,,,
1953,110-120,,,,,,,,,,,,7500.0,7500.0,,,,7500.0,,,
1953,120-130,,,,,,,,,,,,7333.333333333333,6500.0,,,,7750.0,6500.0,,
1953,130-140,,,,,,,,,,,,7800.0,7800.0,,,,,,7800.0,
1953,40-50,8.0,Freehold,Apartment,913000.0,958000.0,868000.0,958000.0,,,,,3100.0,2900.0,,,,3166.6666666666665,2900.0,,27.52873563218391
1953,50-60,8.0,Freehold,Apartment,1133001.5384615385,1242000.0,998000.0,1110142.857142857,1192004.0,,,,3701.25,3600.0,,,,3830.9523809523807,3586.3636363636365,3518.75,28.75
1953,70-80,,,,,,,,,,,,5075.0,4500.0,,,,5266.666666666667,4500.0,,
1953,80-90,8.0,Freehold,Apartment,1888000.0,1888000.0,,,1888000.0,,,,5100.0,5300.0,,,,4900.0,,5300.0,29.68553459119497
2 RVG,60-70,9.0,Freehold,Apartment,1268000.0,1268000.0,1268000.0,,,,,,3517.2413793103447,4300.0,2850.0,2900.0,3440.0,3700.0,3975.0,4100.0,24.573643410852714
2 RVG,70-80,,,,,,,,,,,,4900.0,4600.0,,,,4900.0,,,
2 RVG,80-90,9.0,Freehold,Apartment,1902625.0,2110000.0,1860000.0,1867000.0,1900000.0,,1875000.0,2110000.0,4627.777777777777,5100.0,,3735.714285714286,4546.153846153846,5450.0,5180.0,5180.0,34.47712418300654
21 ANDERSON,150-160,,,,,,,,,,,,8061.111111111111,8000.0,,8063.636363636364,8066.666666666667,8000.0,,,
21 ANDERSON,170-180,,,,,,,,,,,,9096.666666666666,9000.0,9000.0,9142.857142857143,9064.285714285714,,,,
21 ANDERSON,180-190,,,,,,,,,,,,8000.0,8000.0,,8000.0,,,,,
21 ANDERSON,250-300,10.0,Freehold,Condominium,9500000.0,9500000.0,,,,,,9500000.0,,,,,,,,,
21 ANDERSON,400-450,10.0,Freehold,Condominium,22394057.5,24000000.0,,,,,,22394057.5,,,,,,,,,
21 ANDERSON,>300,,,,,,,,,,,,12375.0,11000.0,,12000.0,12500.0,,,,
21 RICHARDS,100-150,19.0,Freehold,Apartment,2000000.0,2000000.0,,,,2000000.0,,,,,,,,,,,
21 RICHARDS,140-150,,,,,,,,,,,,4000.0,4000.0,,4000.0,,,,,
